Subject,Loss aversion (lambda)
1,3.03
2,3.51
3,1.12
4,0.0007
5,3.49
6,3.61
7,1.8
8,3.05
9,3.69
10,1.95
11,0.931
12,0.784
13,2.98
14,2.03
15,2.9
16,3.52
17,1.87
18,3.34
19,1.22
20,2.9
21,3.54
22,1.03
23,1.06
24,2.7
25,1.39
26,1.87
27,1.88
28,2.35
29,1.65
30,1.73
31,2.69
32,3.66
33,0.791
34,1.03
35,2.67
36,2.73
37,1.76
38,0.784
39,2.51
40,3.83
41,1.74
42,1.04
43,4.47
44,1.05
45,3.87
46,1.46
47,1.02
48,1.38
49,1.11
50,2.67
51,1.01
52,2.54
53,1.23
54,1.07
55,1.74
56,2.47
57,1.03
58,1.96
59,1.65
60,3.74
61,1.11
62,4.27
63,2.51
64,2
65,4.38
66,2.71
67,1.65
68,2.62
69,1.02
70,1.07
71,1.31
72,2.02
73,4.3
74,2.79
75,3.12
76,4.51
77,0.0007
78,2.19
79,1.94
80,1.43
82,1.26
83,3.63
84,2.58
85,0.779
86,2.58
87,2.01
88,1.01
89,1.03
90,1.75
91,1.91
92,2.5
93,0.859
94,1.07
95,3.07
96,2.13
97,1.12
98,4.19
99,3.18
100,0.784
101,3.67
102,1.21
103,4.37
104,3.91
105,0.739
106,4.28
107,1.09
108,0.803
